Betreiber: LfU
Pegelkennziffer (PKZ): 6919100
Messstellenname: Frankfurt (Oder), Westkreuz
Gewaessername: Klinge
AEo [qkm]: 8,20
Pegelnullpunkt: 55,193  DHHN2016 
ETRS 89_3_Ost: 465727,370062
ETRS 89_3_Nord: 5799817,120227
Geografische Laenge:  14,496859
Geografische Breite:  52,347578
Parameter: W [cm]
Datum;Uhrzeit;Relativer Wert [cm];Qualität (rel. Wert)
25.12.1995;Tagesmittel;19;Gut
26.12.1995;Tagesmittel;19;Gut
27.12.1995;Tagesmittel;18;Gut
28.12.1995;Tagesmittel;18;Gut
29.12.1995;Tagesmittel;18;Gut
30.12.1995;Tagesmittel;17;Gut
31.12.1995;Tagesmittel;17;Gut
01.01.1996;Tagesmittel;17;Gut
02.01.1996;Tagesmittel;16;Gut
03.01.1996;Tagesmittel;16;Gut
04.01.1996;Tagesmittel;16;Gut
05.01.1996;Tagesmittel;16;Gut
06.01.1996;Tagesmittel;16;Gut
07.01.1996;Tagesmittel;16;Gut
08.01.1996;Tagesmittel;16;Gut
09.01.1996;Tagesmittel;16;Gut
10.01.1996;Tagesmittel;16;Gut
11.01.1996;Tagesmittel;16;Gut
12.01.1996;Tagesmittel;16;Gut
13.01.1996;Tagesmittel;16;Gut
14.01.1996;Tagesmittel;16;Gut
15.01.1996;Tagesmittel;16;Gut
16.01.1996;Tagesmittel;16;Gut
17.01.1996;Tagesmittel;16;Gut
18.01.1996;Tagesmittel;16;Gut
19.01.1996;Tagesmittel;16;Gut
20.01.1996;Tagesmittel;16;Gut
21.01.1996;Tagesmittel;16;Gut
22.01.1996;Tagesmittel;16;Gut
23.01.1996;Tagesmittel;16;Gut
24.01.1996;Tagesmittel;16;Gut
25.01.1996;Tagesmittel;15;Gut
26.01.1996;Tagesmittel;15;Gut
27.01.1996;Tagesmittel;15;Gut
28.01.1996;Tagesmittel;15;Gut
29.01.1996;Tagesmittel;15;Gut
30.01.1996;Tagesmittel;15;Gut
31.01.1996;Tagesmittel;15;Gut
01.02.1996;Tagesmittel;14;Gut
02.02.1996;Tagesmittel;14;Gut
03.02.1996;Tagesmittel;14;Gut
04.02.1996;Tagesmittel;14;Gut
05.02.1996;Tagesmittel;14;Gut
06.02.1996;Tagesmittel;14;Gut
07.02.1996;Tagesmittel;14;Gut
08.02.1996;Tagesmittel;14;Gut
09.02.1996;Tagesmittel;14;Gut
10.02.1996;Tagesmittel;14;Gut
11.02.1996;Tagesmittel;14;Gut
12.02.1996;Tagesmittel;14;Gut
13.02.1996;Tagesmittel;14;Gut
14.02.1996;Tagesmittel;14;Gut
15.02.1996;Tagesmittel;14;Gut
16.02.1996;Tagesmittel;20;Gut
17.02.1996;Tagesmittel;26;Gut
18.02.1996;Tagesmittel;24;Gut
19.02.1996;Tagesmittel;32;Gut
20.02.1996;Tagesmittel;21;Gut
21.02.1996;Tagesmittel;17;Gut
22.02.1996;Tagesmittel;17;Gut
23.02.1996;Tagesmittel;17;Gut
24.02.1996;Tagesmittel;17;Gut
25.02.1996;Tagesmittel;17;Gut
26.02.1996;Tagesmittel;21;Gut
27.02.1996;Tagesmittel;21;Gut
28.02.1996;Tagesmittel;19;Gut
29.02.1996;Tagesmittel;18;Gut
01.03.1996;Tagesmittel;18;Gut
02.03.1996;Tagesmittel;17;Gut
03.03.1996;Tagesmittel;17;Gut
04.03.1996;Tagesmittel;17;Gut
05.03.1996;Tagesmittel;17;Gut
06.03.1996;Tagesmittel;17;Gut
07.03.1996;Tagesmittel;17;Gut
08.03.1996;Tagesmittel;16;Gut
09.03.1996;Tagesmittel;16;Gut
10.03.1996;Tagesmittel;16;Gut
11.03.1996;Tagesmittel;16;Gut
12.03.1996;Tagesmittel;16;Gut
13.03.1996;Tagesmittel;16;Gut
14.03.1996;Tagesmittel;16;Gut
15.03.1996;Tagesmittel;15;Gut
16.03.1996;Tagesmittel;15;Gut
17.03.1996;Tagesmittel;15;Gut
18.03.1996;Tagesmittel;15;Gut
19.03.1996;Tagesmittel;15;Gut
20.03.1996;Tagesmittel;15;Gut
21.03.1996;Tagesmittel;15;Gut
22.03.1996;Tagesmittel;15;Gut
23.03.1996;Tagesmittel;15;Gut
24.03.1996;Tagesmittel;18;Gut
25.03.1996;Tagesmittel;17;Gut
26.03.1996;Tagesmittel;17;Gut
27.03.1996;Tagesmittel;17;Gut
28.03.1996;Tagesmittel;17;Gut
29.03.1996;Tagesmittel;17;Gut
30.03.1996;Tagesmittel;17;Gut
31.03.1996;Tagesmittel;17;Gut
01.04.1996;Tagesmittel;17;Gut
02.04.1996;Tagesmittel;17;Gut
03.04.1996;Tagesmittel;17;Gut
