Betreiber: LfU;;;
Pegelkennziffer (PKZ): 6919300;;;
Messstellenname: Frankfurt (Oder), Simonsmühle;;;
Gewaessername: Klinge;;;
AEo [qkm]: 13,91;;;
Pegelnullpunkt: 34,27  DHHN92 ;;;
ETRS 89_3_Ost: 467257,439684;;;
ETRS 89_3_Nord: 5800668,919883;;;
Geografische Laenge:  14,519237;;;
Geografische Breite:  52,355329;;;
Parameter: W [cm];;;
Datum;Uhrzeit;Relativer Wert [cm];Qualität (rel. Wert)
20.06.1995;Tagesmittel;28;Gut
21.06.1995;Tagesmittel;38;Gut
22.06.1995;Tagesmittel;34;Gut
23.06.1995;Tagesmittel;30;Gut
24.06.1995;Tagesmittel;29;Gut
25.06.1995;Tagesmittel;29;Gut
26.06.1995;Tagesmittel;28;Gut
27.06.1995;Tagesmittel;28;Gut
28.06.1995;Tagesmittel;27;Gut
29.06.1995;Tagesmittel;26;Gut
30.06.1995;Tagesmittel;26;Gut
01.07.1995;Tagesmittel;26;Gut
02.07.1995;Tagesmittel;25;Gut
03.07.1995;Tagesmittel;31;Gut
04.07.1995;Tagesmittel;29;Gut
05.07.1995;Tagesmittel;28;Gut
06.07.1995;Tagesmittel;27;Gut
07.07.1995;Tagesmittel;27;Gut
08.07.1995;Tagesmittel;27;Gut
09.07.1995;Tagesmittel;27;Gut
10.07.1995;Tagesmittel;26;Gut
11.07.1995;Tagesmittel;26;Gut
12.07.1995;Tagesmittel;26;Gut
13.07.1995;Tagesmittel;26;Gut
14.07.1995;Tagesmittel;29;Gut
15.07.1995;Tagesmittel;32;Gut
16.07.1995;Tagesmittel;29;Gut
17.07.1995;Tagesmittel;26;Gut
18.07.1995;Tagesmittel;26;Gut
19.07.1995;Tagesmittel;26;Gut
20.07.1995;Tagesmittel;26;Gut
21.07.1995;Tagesmittel;26;Gut
22.07.1995;Tagesmittel;26;Gut
23.07.1995;Tagesmittel;25;Gut
24.07.1995;Tagesmittel;25;Gut
25.07.1995;Tagesmittel;25;Gut
26.07.1995;Tagesmittel;25;Gut
27.07.1995;Tagesmittel;25;Gut
28.07.1995;Tagesmittel;25;Gut
29.07.1995;Tagesmittel;25;Gut
30.07.1995;Tagesmittel;25;Gut
31.07.1995;Tagesmittel;25;Gut
01.08.1995;Tagesmittel;25;Gut
02.08.1995;Tagesmittel;25;Gut
03.08.1995;Tagesmittel;25;Gut
04.08.1995;Tagesmittel;25;Gut
05.08.1995;Tagesmittel;25;Gut
06.08.1995;Tagesmittel;25;Gut
07.08.1995;Tagesmittel;25;Gut
08.08.1995;Tagesmittel;25;Gut
09.08.1995;Tagesmittel;25;Gut
10.08.1995;Tagesmittel;25;Gut
11.08.1995;Tagesmittel;25;Gut
12.08.1995;Tagesmittel;25;Gut
13.08.1995;Tagesmittel;25;Gut
14.08.1995;Tagesmittel;25;Gut
15.08.1995;Tagesmittel;25;Gut
16.08.1995;Tagesmittel;28;Gut
17.08.1995;Tagesmittel;25;Gut
18.08.1995;Tagesmittel;25;Gut
19.08.1995;Tagesmittel;25;Gut
20.08.1995;Tagesmittel;25;Gut
21.08.1995;Tagesmittel;25;Gut
22.08.1995;Tagesmittel;25;Gut
23.08.1995;Tagesmittel;25;Gut
24.08.1995;Tagesmittel;25;Gut
25.08.1995;Tagesmittel;25;Gut
26.08.1995;Tagesmittel;25;Gut
27.08.1995;Tagesmittel;25;Gut
28.08.1995;Tagesmittel;27;Gut
29.08.1995;Tagesmittel;27;Gut
30.08.1995;Tagesmittel;26;Gut
31.08.1995;Tagesmittel;37;Gut
01.09.1995;Tagesmittel;34;Gut
02.09.1995;Tagesmittel;27;Gut
03.09.1995;Tagesmittel;27;Gut
04.09.1995;Tagesmittel;26;Gut
05.09.1995;Tagesmittel;25;Gut
06.09.1995;Tagesmittel;25;Gut
07.09.1995;Tagesmittel;25;Gut
08.09.1995;Tagesmittel;26;Gut
09.09.1995;Tagesmittel;27;Gut
10.09.1995;Tagesmittel;26;Gut
11.09.1995;Tagesmittel;25;Gut
12.09.1995;Tagesmittel;25;Gut
13.09.1995;Tagesmittel;24;Gut
14.09.1995;Tagesmittel;24;Gut
15.09.1995;Tagesmittel;24;Gut
16.09.1995;Tagesmittel;24;Gut
17.09.1995;Tagesmittel;24;Gut
18.09.1995;Tagesmittel;24;Gut
19.09.1995;Tagesmittel;24;Gut
20.09.1995;Tagesmittel;28;Gut
21.09.1995;Tagesmittel;27;Gut
22.09.1995;Tagesmittel;25;Gut
23.09.1995;Tagesmittel;25;Gut
24.09.1995;Tagesmittel;25;Gut
25.09.1995;Tagesmittel;25;Gut
26.09.1995;Tagesmittel;26;Gut
27.09.1995;Tagesmittel;35;Gut
