Betreiber: LfU;;;
Pegelkennziffer (PKZ): 6919600;;;
Messstellenname: Frankfurt (Oder), Beckmannstraße;;;
Gewaessername: Klinge;;;
AEo [qkm]: 20,95;;;
Pegelnullpunkt: 23,177  DHHN2016 ;;;
ETRS 89_3_Ost: 468707,37003;;;
ETRS 89_3_Nord: 5800074,780486;;;
Geografische Laenge:  14,540582;;;
Geografische Breite:  52,350073;;;
Parameter: W [cm];;;
Datum;Uhrzeit;Relativer Wert [cm];Qualität (rel. Wert)
10.09.1982;Terminwerte;4;Gut
11.09.1982;Terminwerte;6;Gut
12.09.1982;Terminwerte;6;Gut
13.09.1982;Terminwerte;6;Gut
14.09.1982;Terminwerte;6;Gut
15.09.1982;Terminwerte;6;Gut
16.09.1982;Terminwerte;6;Gut
17.09.1982;Terminwerte;6;Gut
18.09.1982;Terminwerte;6;Gut
19.09.1982;Terminwerte;6;Gut
20.09.1982;Terminwerte;6;Gut
21.09.1982;Terminwerte;8;Gut
22.09.1982;Terminwerte;8;Gut
23.09.1982;Terminwerte;6;Gut
24.09.1982;Terminwerte;4;Gut
25.09.1982;Terminwerte;4;Gut
26.09.1982;Terminwerte;4;Gut
27.09.1982;Terminwerte;4;Gut
28.09.1982;Terminwerte;5;Gut
29.09.1982;Terminwerte;4;Gut
30.09.1982;Terminwerte;4;Gut
01.10.1982;Terminwerte;4;Gut
02.10.1982;Terminwerte;4;Gut
03.10.1982;Terminwerte;4;Gut
04.10.1982;Terminwerte;4;Gut
05.10.1982;Terminwerte;4;Gut
06.10.1982;Terminwerte;5;Gut
07.10.1982;Terminwerte;5;Gut
08.10.1982;Terminwerte;5;Gut
09.10.1982;Terminwerte;5;Gut
10.10.1982;Terminwerte;5;Gut
11.10.1982;Terminwerte;5;Gut
12.10.1982;Terminwerte;5;Gut
13.10.1982;Terminwerte;5;Gut
14.10.1982;Terminwerte;5;Gut
15.10.1982;Terminwerte;6;Gut
16.10.1982;Terminwerte;6;Gut
17.10.1982;Terminwerte;6;Gut
18.10.1982;Terminwerte;8;Gut
19.10.1982;Terminwerte;11;Gut
20.10.1982;Terminwerte;5;Gut
21.10.1982;Terminwerte;4;Gut
22.10.1982;Terminwerte;4;Gut
23.10.1982;Terminwerte;3;Gut
24.10.1982;Terminwerte;2;Gut
25.10.1982;Terminwerte;4;Gut
26.10.1982;Terminwerte;5;Gut
27.10.1982;Terminwerte;5;Gut
28.10.1982;Terminwerte;5;Gut
29.10.1982;Terminwerte;4;Gut
30.10.1982;Terminwerte;4;Gut
31.10.1982;Terminwerte;4;Gut
01.11.1982;Terminwerte;4;Gut
02.11.1982;Terminwerte;4;Gut
03.11.1982;Terminwerte;4;Gut
04.11.1982;Terminwerte;3;Gut
05.11.1982;Terminwerte;3;Gut
06.11.1982;Terminwerte;3;Gut
07.11.1982;Terminwerte;4;Gut
08.11.1982;Terminwerte;4;Gut
09.11.1982;Terminwerte;4;Gut
10.11.1982;Terminwerte;5;Gut
11.11.1982;Terminwerte;5;Gut
12.11.1982;Terminwerte;5;Gut
13.11.1982;Terminwerte;7;Gut
14.11.1982;Terminwerte;5;Gut
15.11.1982;Terminwerte;5;Gut
16.11.1982;Terminwerte;5;Gut
17.11.1982;Terminwerte;15;Gut
18.11.1982;Terminwerte;11;Gut
19.11.1982;Terminwerte;7;Gut
20.11.1982;Terminwerte;5;Gut
21.11.1982;Terminwerte;4;Gut
22.11.1982;Terminwerte;4;Gut
23.11.1982;Terminwerte;4;Gut
24.11.1982;Terminwerte;4;Gut
25.11.1982;Terminwerte;5;Gut
26.11.1982;Terminwerte;5;Gut
27.11.1982;Terminwerte;5;Gut
28.11.1982;Terminwerte;5;Gut
29.11.1982;Terminwerte;7;Gut
30.11.1982;Terminwerte;7;Gut
01.12.1982;Terminwerte;7;Gut
02.12.1982;Terminwerte;7;Gut
03.12.1982;Terminwerte;8;Gut
04.12.1982;Terminwerte;8;Gut
05.12.1982;Terminwerte;8;Gut
06.12.1982;Terminwerte;8;Gut
07.12.1982;Terminwerte;9;Gut
08.12.1982;Terminwerte;11;Gut
09.12.1982;Terminwerte;8;Gut
10.12.1982;Terminwerte;8;Gut
11.12.1982;Terminwerte;8;Gut
12.12.1982;Terminwerte;8;Gut
13.12.1982;Terminwerte;13;Gut
14.12.1982;Terminwerte;15;Gut
15.12.1982;Terminwerte;25;Gut
16.12.1982;Terminwerte;21;Gut
17.12.1982;Terminwerte;15;Gut
18.12.1982;Terminwerte;11;Gut
19.12.1982;Terminwerte;7;Gut
20.12.1982;Terminwerte;7;Gut
21.12.1982;Terminwerte;7;Gut
22.12.1982;Terminwerte;7;Gut
23.12.1982;Terminwerte;7;Gut
24.12.1982;Terminwerte;7;Gut
25.12.1982;Terminwerte;7;Gut
26.12.1982;Terminwerte;7;Gut
27.12.1982;Terminwerte;7;Gut
28.12.1982;Terminwerte;7;Gut
29.12.1982;Terminwerte;5;Gut
30.12.1982;Terminwerte;7;Gut
31.12.1982;Terminwerte;7;Gut
01.01.1983;Terminwerte;7;Gut
02.01.1983;Terminwerte;7;Gut
03.01.1983;Terminwerte;7;Gut
04.01.1983;Terminwerte;9;Gut
05.01.1983;Terminwerte;8;Gut
06.01.1983;Terminwerte;7;Gut
07.01.1983;Terminwerte;7;Gut
08.01.1983;Terminwerte;7;Gut
09.01.1983;Terminwerte;21;Gut
10.01.1983;Terminwerte;6;Gut
11.01.1983;Terminwerte;6;Gut
12.01.1983;Terminwerte;6;Gut
13.01.1983;Terminwerte;6;Gut
14.01.1983;Terminwerte;6;Gut
15.01.1983;Terminwerte;21;Gut
16.01.1983;Terminwerte;19;Gut
17.01.1983;Terminwerte;19;Gut
18.01.1983;Terminwerte;11;Gut
19.01.1983;Terminwerte;11;Gut
20.01.1983;Terminwerte;9;Gut
21.01.1983;Terminwerte;8;Gut
22.01.1983;Terminwerte;8;Gut
23.01.1983;Terminwerte;8;Gut
24.01.1983;Terminwerte;8;Gut
25.01.1983;Terminwerte;8;Gut
26.01.1983;Terminwerte;8;Gut
27.01.1983;Terminwerte;8;Gut
28.01.1983;Terminwerte;8;Gut
29.01.1983;Terminwerte;9;Gut
